Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"192","22","2","","2010-08-10 00:00:00",""
"193","22","2","","2010-08-10 00:00:00",""
"194","114","2","","2010-08-10 00:00:00",""
"198","32","2","","2010-08-10 00:00:00",""
"199","21","2","","2010-08-10 00:00:00",""
"200","96","2","","2010-08-10 00:00:00",""
"201","101","2","","2010-08-10 00:00:00",""
"202","22","2","","2010-08-10 00:00:00",""
"203","81","2","","2010-08-10 00:00:00",""
"204","81","5","114","2010-08-10 00:00:00",""
"205","32","2","","2010-08-10 00:00:00",""
"206","21","2","","2010-08-10 00:00:00",""
"207","123","2","","2010-08-10 00:00:00",""
"208","118","2","","2010-08-10 00:00:00",""
"209","118","5","114","2010-08-10 00:00:00",""
"210","54","2","","2010-08-10 00:00:00",""
"211","22","2","","2010-08-10 00:00:00",""
"212","15","2","","2010-08-10 00:00:00",""
"213","120","2","","2010-08-10 00:00:00",""
"214","119","2","","2010-08-10 00:00:00",""
"215","114","2","","2010-08-10 00:00:00",""
"216","89","2","","2010-08-10 00:00:00",""
"217","83","2","","2010-08-10 00:00:00",""
"218","135","2","","2010-08-10 00:00:00",""
"219","134","2","","2010-08-10 00:00:00",""
"221","112","2","","2010-08-10 00:00:00",""
"222","131","2","","2010-08-10 00:00:00",""
"223","122","2","","2010-08-10 00:00:00",""
"224","54","2","","2010-08-10 00:00:00",""
"225","37","2","","2010-08-10 00:00:00",""
"226","131","2","","2010-08-10 00:00:00",""
"227","129","2","","2010-08-10 00:00:00",""
"228","123","2","","2010-08-10 00:00:00",""
"229","137","2","","2010-08-10 00:00:00",""
"230","88","2","","2010-08-10 00:00:00",""
"231","114","5","79","2010-08-10 00:00:00",""
"232","136","2","","2010-08-10 00:00:00",""
"233","100","2","","2010-08-10 00:00:00",""
"234","33","3","","2010-08-10 00:00:00",""
"235","101","2","","2010-08-10 00:00:00",""
"236","100","2","","2010-08-10 00:00:00",""
"237","102","2","","2010-08-10 00:00:00",""
"238","97","2","","2010-08-10 00:00:00",""
"239","96","2","","2010-08-10 00:00:00",""
"240","104","2","","2010-08-10 00:00:00",""
"241","106","2","","2010-08-10 00:00:00",""
"242","1","2","","2010-08-10 00:00:00",""
"243","1","5","114","2010-08-10 00:00:00",""
"244","13","3","","2010-08-10 00:00:00",""
"245","31","2","","2010-08-10 00:00:00",""
"246","104","2","","2010-08-10 00:00:00",""
"247","119","2","","2010-08-10 00:00:00",""
"248","102","2","","2010-08-10 00:00:00",""
"249","150","2","","2010-08-10 00:00:00",""
"250","139","2","","2010-08-10 00:00:00",""
"251","123","2","","2010-08-10 00:00:00",""
"252","153","2","","2010-08-10 00:00:00",""
"253","126","2","","2010-08-10 00:00:00",""
"254","131","2","","2010-08-10 00:00:00",""
"255","123","2","","2010-08-10 00:00:00",""
"256","123","5","123","2010-08-10 00:00:00",""
"257","114","2","","2010-08-10 00:00:00",""
"258","136","2","","2010-08-10 00:00:00",""
"259","81","2","","2010-08-10 00:00:00",""
"260","127","2","","2010-08-10 00:00:00",""
"261","116","2","","2010-08-10 00:00:00",""
"262","81","5","123","2010-08-10 00:00:00",""
"263","74","5","123","2010-08-10 00:00:00",""
"264","74","2","","2010-08-10 00:00:00",""
"477928","90691","2","","2016-12-19 00:00:00",""
"477929","90690","2","","2016-12-19 00:00:00",""
